"대상별(1)","항목","운영기관별(1)",2017,2018,2019,2020,2021
"장애인","무임승차 (천명)","서울교통공사",46405,44967,45644,33460,32868
"장애인","무임승차 (천명)","서울메트로 9호선(주)",2529,2508,2546,1888,1877
"장애인","무임승차 (천명)","서울교통공사9호선운영부문",228,252,580,459,485
"장애인","무임승차 (천명)","우이 신설경전철(주)",201,661,718,574,571
"장애인","무임비용 (백만원)","서울교통공사",63000,60969,61831,45181,44477
"장애인","무임비용 (백만원)","서울메트로 9호선(주)",3161,3136,3183,2360,2346
"장애인","무임비용 (백만원)","서울교통공사9호선운영부문",285,315,725,573,606
"장애인","무임비용 (백만원)","우이 신설경전철(주)",251,828,897,717,714
"노인","무임승차 (천명)","서울교통공사",208466,212843,225094,160053,170771
"노인","무임승차 (천명)","서울메트로 9호선(주)",9746,10156,11024,7863,8655
"노인","무임승차 (천명)","서울교통공사9호선운영부문",1103,1387,3559,2724,3118
"노인","무임승차 (천명)","우이 신설경전철(주)",1195,4030,4569,3600,3878
"노인","무임비용 (백만원)","서울교통공사",283059,288617,304929,216135,231108
"노인","무임비용 (백만원)","서울메트로 9호선(주)",12182,12694,13780,9829,10819
"노인","무임비용 (백만원)","서울교통공사9호선운영부문",1379,1734,4449,3406,3897
"노인","무임비용 (백만원)","우이 신설경전철(주)",1494,5037,5712,4500,4848
"기타","무임승차 (천명)","서울메트로 9호선(주)",-,-,-,16,17
"기타","무임승차 (천명)","우이 신설경전철(주)",1,3,3,2,2
"기타","무임비용 (백만원)","서울메트로 9호선(주)",-,-,-,20,21
"기타","무임비용 (백만원)","우이 신설경전철(주)",1,4,3,2,2
"국가유공자","무임승차 (천명)","서울교통공사",3379,3237,3103,2177,2109
"국가유공자","무임승차 (천명)","서울메트로 9호선(주)",165,160,180,133,133
"국가유공자","무임승차 (천명)","서울교통공사9호선운영부문",19,29,180,170,186
"국가유공자","무임승차 (천명)","우이 신설경전철(주)",9,26,26,21,23
"국가유공자","무임비용 (백만원)","서울교통공사",4588,4388,4166,2939,2853
"국가유공자","무임비용 (백만원)","서울메트로 9호선(주)",206,200,225,166,166
"국가유공자","무임비용 (백만원)","서울교통공사9호선운영부문",24,36,225,212,233
"국가유공자","무임비용 (백만원)","우이 신설경전철(주)",11,31,33,27,29
"계","무임승차 (천명)","서울교통공사",258250,261047,273841,195690,205748
"계","무임승차 (천명)","서울메트로 9호선(주)",12440,12824,13750,9900,10682
"계","무임승차 (천명)","서울교통공사9호선운영부문",1350,1668,4319,3353,3789
"계","무임승차 (천명)","우이 신설경전철(주)",1406,4720,5316,4197,4474
"계","무임비용 (백만원)","서울교통공사",350647,353974,370926,264255,278438
"계","무임비용 (백만원)","서울메트로 9호선(주)",15550,16030,17188,12375,13352
"계","무임비용 (백만원)","서울교통공사9호선운영부문",1688,2085,5399,4191,4736
"계","무임비용 (백만원)","우이 신설경전철(주)",1757,5900,6645,5246,5593
