"운영기관별(1)","항목",2017,2018,2019,2020,2021
"서울교통공사","연간승차 (천명)",1751579,1751695,1769156,1282565,1291497
"서울교통공사","무임승차 (천명)",258250,261047,273841,195690,205748
"서울교통공사","영업손실 (억원)",5219,5322,5324,10902,9385
"서울교통공사","무임비용 (억원)",3506.0,3540.0,3709.0,2643.0,2784.0
"서울교통공사9호선운영부문","연간승차 (천명)",14038,15843,30563,25018,27009
"서울교통공사9호선운영부문","무임승차 (천명)",1350,1668,4319,3353,3789
"서울교통공사9호선운영부문","영업손실 (억원)",0,0,0,0,0
"서울교통공사9호선운영부문","무임비용 (억원)",1.7,2.1,5.4,42.0,47.0
"서울메트로 9호선㈜","연간승차 (천명)",94831,95773,100296,75741,79081
"서울메트로 9호선㈜","무임승차 (천명)",12440,12824,13761,9884,10682
"서울메트로 9호선㈜","영업손실 (억원)",186,173,152,376,392
"서울메트로 9호선㈜","무임비용 (억원)",155.0,160.0,172.0,124.0,134.0
"우이 신설경전철(주)","연간승차 (천명)",4576,15152,16157,12545,13267
"우이 신설경전철(주)","무임승차 (천명)",1406,4720,5316,4197,4474
"우이 신설경전철(주)","영업손실 (억원)",102,193,152,146,0
"우이 신설경전철(주)","무임비용 (억원)",17.0,59.0,66.0,52.0,56.0
