"시점","항목",서울교통공사,서울메트로 9호선㈜,서울교통공사9호선운영부문,우이 신설경전철(주)
"2017","연간승차 (천명)",1751579,94831,14038,4576
"2017","무임승차 (천명)",258250,12440,1350,1406
"2017","영업손실 (억원)",5219,186,0,102
"2017","무임비용 (억원)",3506.0,155.0,1.7,17.0
"2018","연간승차 (천명)",1751695,95773,15843,15152
"2018","무임승차 (천명)",261047,12824,1668,4720
"2018","영업손실 (억원)",5322,173,0,193
"2018","무임비용 (억원)",3540.0,160.0,2.1,59.0
"2019","연간승차 (천명)",1769156,100296,30563,16157
"2019","무임승차 (천명)",273841,13761,4319,5316
"2019","영업손실 (억원)",5324,152,0,152
"2019","무임비용 (억원)",3709.0,172.0,5.4,66.0
"2020","연간승차 (천명)",1282565,75741,25018,12545
"2020","무임승차 (천명)",195690,9884,3353,4197
"2020","영업손실 (억원)",10902,376,0,146
"2020","무임비용 (억원)",2643.0,124.0,42.0,52.0
"2021","연간승차 (천명)",1291497,79081,27009,13267
"2021","무임승차 (천명)",205748,10682,3789,4474
"2021","영업손실 (억원)",9385,392,0,0
"2021","무임비용 (억원)",2784.0,134.0,47.0,56.0
